Bakim Yeri	Ekipman	Teknik Tanitici Numarasi	SCE Grubu	SCE Sebebi	Ekipman Tipi
1009	1100000115	205-HCV-211	Basınç Boşaltma Sistemleri	BASINÇ BOŞALTMA VANASI	Instrument Control Valve
1009	1100000131	205-HCV-231	Basınç Boşaltma Sistemleri	BASINÇ BOŞALTMA VANASI	Instrument Control Valve
1009	1100122786	205-PC-711	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Pressure Transmitter
1009	1100122802	205-PC-741	Inert Örtüleme Sistemleri	AZOT ÖRTÜ SISTEMI	Pressure Transmitter
1007	1100031605	206-0-PCV0-0009	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100202793	206-1-FZL6-0404-A	Acil Durdurma Sistemleri (ESD)	OPR. HAZOP/LOPA	Flow Switch
1007	1100108159	206-1-FZL6-0404-B	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Flow Switch
1007	1100202794	206-1-FZL6-0414-A	Acil Durdurma Sistemleri (ESD)	OPR. HAZOP/LOPA	Flow Switch
1007	1100108167	206-1-FZL6-0414-B	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Flow Switch
1007	1100202795	206-1-FZL6-0424-A	Acil Durdurma Sistemleri (ESD)	OPR. HAZOP/LOPA	Flow Switch
1007	1100108177	206-1-FZL6-0424-B	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Flow Switch
1007	1100038247	206-1-HCV1-0308	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100122375	206-1-LPV1-0322	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100039461	206-1-LZH1-03212	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Nuclear Radiation Level Switch
1007	1100039483	206-1-LZH1-0413-2	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Nuclear Radiation Level Switch
1007	1100031485	206-1-PCV1-0001	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031499	206-1-PCV1-0002	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031515	206-1-PCV1-0003	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031529	206-1-PCV1-0004	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031544	206-1-PCV1-0005	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031560	206-1-PCV1-0006	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031576	206-1-PCV1-0007	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100031590	206-1-PCV1-0008	Deluge Sistemleri	DELUGE SISTEMI	Pneumatic-Hydraulic Actuator
1007	1100038500	206-1-PPV1-0243	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100028552	206-1-PT1-0243	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028567	206-1-PT1-0244	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028731	206-1-PT1-0307	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028657	206-1-PT1-1906-F	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028671	206-1-PT1-1907-G	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028686	206-1-PT1-1908-H	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028701	206-1-PT1-1909-K	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028715	206-1-PT1-1910-L	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100036887	206-1-PZH2-0336	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Switch
1007	1100036905	206-1-PZH2-0337	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Switch
1007	1100036944	206-1-PZL2-0120	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Switch
1007	1100030016	206-1-TE1-0206	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	TC Temperature Element
1007	1100025391	206-1-TE1-0209	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	TC Temperature Element
1007	1100039420	206-1-XCV1-0708	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030104	206-1-XCV1-0712	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030189	206-1-XCV1-0738	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030257	206-1-XCV1-0742	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030264	206-1-XCV1-0768	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030489	206-1-XCV1-0812	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
