Ekipman	Ekipman Tipi
1100000115	Instrument Control Valve
1100000131	Instrument Control Valve
1100122786	Pressure Transmitter
1100122802	Pressure Transmitter
1100031605	Pneumatic-Hydraulic Actuator
1100202793	Flow Switch
1100108159	Flow Switch
1100202794	Flow Switch
1100108167	Flow Switch
1100202795	Flow Switch
1100108177	Flow Switch
1100038247	Instrument Control Valve
1100122375	Instrument Control Valve
1100039461	Nuclear Radiation Level Switch
1100039483	Nuclear Radiation Level Switch
1100031485	Pneumatic-Hydraulic Actuator
1100031499	Pneumatic-Hydraulic Actuator
1100031515	Pneumatic-Hydraulic Actuator
1100031529	Pneumatic-Hydraulic Actuator
1100031544	Pneumatic-Hydraulic Actuator
1100031560	Pneumatic-Hydraulic Actuator
1100031576	Pneumatic-Hydraulic Actuator
1100031590	Pneumatic-Hydraulic Actuator
1100038500	Instrument Control Valve
1100028552	Pressure Transmitter
1100028567	Pressure Transmitter
1100028731	Pressure Transmitter
1100028657	Pressure Transmitter
1100028671	Pressure Transmitter
1100028686	Pressure Transmitter
1100028701	Pressure Transmitter
1100028715	Pressure Transmitter
1100036887	Pressure Switch
1100036905	Pressure Switch
1100036944	Pressure Switch
1100030016	TC Temperature Element
1100025391	TC Temperature Element
1100039420	Pneumatic-Hydraulic Actuator
1100030104	Pneumatic-Hydraulic Actuator
1100030189	Pneumatic-Hydraulic Actuator
1100030257	Pneumatic-Hydraulic Actuator
1100030264	Pneumatic-Hydraulic Actuator
1100030489	Pneumatic-Hydraulic Actuator
1100030497	Pneumatic-Hydraulic Actuator
1100030584	Pneumatic-Hydraulic Actuator
1100108160	Flow Switch
1100108168	Flow Switch
1100108178	Flow Switch
1100038253	Instrument Control Valve
1100122373	Instrument Control Valve
1100039466	Nuclear Radiation Level Switch
1100039490	Nuclear Radiation Level Switch
1100031492	Pneumatic-Hydraulic Actuator
1100031507	Pneumatic-Hydraulic Actuator
1100031522	Pneumatic-Hydraulic Actuator
1100031536	Pneumatic-Hydraulic Actuator
1100031552	Pneumatic-Hydraulic Actuator
1100031568	Pneumatic-Hydraulic Actuator
1100031583	Pneumatic-Hydraulic Actuator
1100031598	Pneumatic-Hydraulic Actuator
1100038488	Instrument Control Valve
1100028559	Pressure Transmitter
1100028575	Pressure Transmitter
1100028738	Pressure Transmitter
1100028664	Pressure Transmitter
1100028678	Pressure Transmitter
1100028693	Pressure Transmitter
1100028708	Pressure Transmitter
1100028723	Pressure Transmitter
1100036896	Pressure Switch
1100036914	Pressure Switch
1100036952	Pressure Switch
1100030023	TC Temperature Element
1100025399	TC Temperature Element
1100038694	Instrument Control Valve
1100030150	Pneumatic-Hydraulic Actuator
1100030218	Pneumatic-Hydraulic Actuator
1100030312	Pneumatic-Hydraulic Actuator
1100030319	Pneumatic-Hydraulic Actuator
1100030540	Pneumatic-Hydraulic Actuator
1100030547	Pneumatic-Hydraulic Actuator
1100030613	Pneumatic-Hydraulic Actuator
1100102169	Self-Operated Control Valve
1100102170	Self-Operated Control Valve
1100102171	Self-Operated Control Valve
1100102172	Self-Operated Control Valve
1100102173	Self-Operated Control Valve
1100102174	Self-Operated Control Valve
1100102175	Self-Operated Control Valve
1100102176	Self-Operated Control Valve
1100102177	Self-Operated Control Valve
1100202796	Miscellaneous Instrument Valve
1100202797	Miscellaneous Instrument Valve
1100202798	Miscellaneous Instrument Valve
1100026949	Pressure Transmitter
1100026958	Pressure Transmitter
1100026968	Pressure Transmitter
1100026977	Pressure Transmitter
1100026987	Pressure Transmitter
1100106807	TC Temperature Element
1100106808	TC Temperature Element
1100106809	TC Temperature Element
1100106810	TC Temperature Element
1100106811	TC Temperature Element
1100107972	Instrument Control Valve
1100107977	Instrument Control Valve
1100107967	Instrument Control Valve
1100107982	Instrument Control Valve
1100107987	Instrument Control Valve
1100107995	Instrument Control Valve
1100107962	Instrument Control Valve
1100108000	Instrument Control Valve
1100108008	Instrument Control Valve
1100053768	Flow Transmitter
1100175562	Differential Pressure Level Transmitter
1100175563	Differential Pressure Level Transmitter
1100175564	Differential Pressure Level Transmitter
1100121851	Pressure Transmitter
1100121663	Pressure Transmitter
1100189847	Pressure Transmitter
1100121710	Pressure Transmitter
1100121711	Pressure Transmitter
1100121712	Pressure Transmitter
1100121694	Pressure Transmitter
1100122460	Pressure Transmitter
1100052507	RTD Temperature Element
1100052522	RTD Temperature Element
1100052536	RTD Temperature Element
1100052549	RTD Temperature Element
1100121648	Instrument Control Valve
1100121651	Instrument Control Valve
1100121654	Instrument Control Valve
1100121657	Mechanical Position Switch
1100019293	Instrument Control Valve
1100019325	Instrument Control Valve
1100019282	Instrument Control Valve
1100097443	Differential Pressure Flow Transmitter
1100097444	Differential Pressure Flow Transmitter
1100097445	Differential Pressure Flow Transmitter
1100018834	Instrument Automated Block Valve
1100018959	Instrument Automated Block Valve
1100019231	Instrument Control Valve
1100001976	Differential Pressure Level Transmitter
1100001988	Differential Pressure Level Transmitter
1100012559	Level Switch
1100012568	Level Switch
1100012575	Level Switch
1100012584	Level Switch
1100012592	Level Switch
1100012601	Level Switch
1100012609	Level Switch
1100012618	Level Switch
1100012626	Level Switch
1100012635	Level Switch
1100012644	Level Switch
1100012651	Level Switch
1100012708	Level Switch
1100012724	Level Switch
1100012742	Level Switch
1100012750	Level Switch
1100021110	Self-Operated Control Valve
1100108864	Differential Pressure Flow Transmitter
1100021118	Self-Operated Control Valve
1100108865	Differential Pressure Flow Transmitter
1100108868	Instrument Control Valve
1100108866	Differential Pressure Flow Transmitter
1100021283	Self-Operated Control Valve
1100108867	Differential Pressure Flow Transmitter
1100021920	Instrument Control Valve
1100021930	Instrument Control Valve
1100015695	Pressure Switch
1100015703	Pressure Switch
1100015710	Pressure Switch
1100096205	TC Temperature Element
1100096206	TC Temperature Element
1100096207	TC Temperature Element
1100096516	TC Temperature Element
1100096517	TC Temperature Element
1100096518	TC Temperature Element
1100096519	TC Temperature Element
1100096520	TC Temperature Element
1100096521	TC Temperature Element
1100096522	TC Temperature Element
1100096523	TC Temperature Element
1100096524	TC Temperature Element
1100096525	TC Temperature Element
1100096526	TC Temperature Element
1100096527	TC Temperature Element
1100096529	TC Temperature Element
1100096530	TC Temperature Element
1100096531	TC Temperature Element
1100096532	TC Temperature Element
1100096533	TC Temperature Element
1100096534	TC Temperature Element
1100096535	TC Temperature Element
1100096536	TC Temperature Element
1100096537	TC Temperature Element
1100096538	TC Temperature Element
1100096539	TC Temperature Element
1100096540	TC Temperature Element
1100161202	Temperature Element
1100161203	Temperature Element
1100161204	Temperature Element
1100161205	Temperature Element
1100161206	Temperature Element
1100161207	Temperature Element
1100161214	Temperature Element
1100161215	Temperature Element
1100161216	Temperature Element
1100161217	Temperature Element
1100161218	Temperature Element
1100161219	Temperature Element
1100161226	Temperature Element
1100161227	Temperature Element
1100161228	Temperature Element
1100161229	Temperature Element
1100161230	Temperature Element
1100161231	Temperature Element
1100161232	Temperature Element
1100161233	Temperature Element
1100023338	Instrument Automated Block Valve
1100023345	Instrument Automated Block Valve
1100023399	Instrument Automated Block Valve
1100023408	Instrument Automated Block Valve
1100009093	Instrument Solenoid Valve
1100009100	Instrument Solenoid Valve
1100009123	Instrument Solenoid Valve
1100009131	Instrument Solenoid Valve
1100023253	Instrument Automated Block Valve
1100023574	Instrument Automated Block Valve
1100023596	Instrument Automated Block Valve
1100023604	Instrument Automated Block Valve
1100023612	Instrument Automated Block Valve
1100023628	Instrument Automated Block Valve
1100023284	Instrument Control Valve
1100024245	Instrument Automated Block Valve
1100024252	Instrument Automated Block Valve
1100024259	Instrument Automated Block Valve
1100009238	Instrument Solenoid Valve
1100033129	Differential Pressure Flow Transmitter
1100033141	Differential Pressure Flow Transmitter
1100033150	Differential Pressure Flow Transmitter
1100033161	Differential Pressure Flow Transmitter
1100033172	Differential Pressure Flow Transmitter
1100033183	Differential Pressure Flow Transmitter
1100033194	Differential Pressure Flow Transmitter
1100033204	Differential Pressure Flow Transmitter
1100033215	Differential Pressure Flow Transmitter
1100033226	Differential Pressure Flow Transmitter
1100033236	Differential Pressure Flow Transmitter
1100033247	Differential Pressure Flow Transmitter
1100033289	Differential Pressure Flow Transmitter
1100033300	Differential Pressure Flow Transmitter
1100033310	Differential Pressure Flow Transmitter
1100043688	Instrument Control Valve
1100033377	Differential Pressure Flow Transmitter
1100033388	Differential Pressure Flow Transmitter
1100033399	Differential Pressure Flow Transmitter
1100033495	Differential Pressure Flow Transmitter
1100033506	Differential Pressure Flow Transmitter
1100033516	Differential Pressure Flow Transmitter
1100111507	Instrument Control Valve
1100097765	Self-Operated Control Valve
1100097783	Self-Operated Control Valve
1100097784	Self-Operated Control Valve
1100111647	Instrument Control Valve
1100043843	Instrument Control Valve
1100043905	Instrument Control Valve
1100111539	Pneumatic-Hydraulic Actuator
1100111541	Pneumatic-Hydraulic Actuator
1100111624	Pneumatic-Hydraulic Actuator
1100111628	Pneumatic-Hydraulic Actuator
1100111557	RTD-TC Temperature Transmitter Switch
1100124837	Instrument Control Valve
1100124838	Instrument Control Valve
1100130940	Instrument Control Valve
1100025246	Miscellaneous Instrument Valve
1100025255	Miscellaneous Instrument Valve
1100015813	Pressure Transmitter
1100015824	Pressure Transmitter
1100015859	Pressure Transmitter
1100015881	Pressure Transmitter
1100015911	Pressure Transmitter
